timestamp,text,label
0:01,halo baaang,0
0:01,AYOOOOOOO,0
0:01,wong solo tenan ki,0
0:01,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,0
0:02,ban,0
0:02,bg telat ga?,0
0:03,MANAAAAAAA,0
0:04,bang aku laperrrrr,0
0:04,INFO WAKTU BUKA WIB JAM BERAPA WOYYY ???,0
0:04,sniper apaan tuh bang,0
0:05,BANGGGGGGG,0
0:05,BURUAN,0
0:05,:face-orange-raised-eyebrow::face-orange-raised-eyebrow::face-orange-raised-eyebrow:,0
0:06,kayaknya life jam stengah 8 deh:eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying:,0
0:06,:face-green-smiling:,0
0:06,laparrr,0
0:07,lapeeeeerrr,0
0:07,LET GOOOOOO,0
0:07,Imaa,0
0:07,HIDUP PAK JOKOWII,0
0:08,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,0
0:08,angjayy,0
0:08,pria solo itu lagiii????,0
0:08,ngab owi,0
0:09,cepet bang,0
0:09,AYOO BAANGGG,0
0:09,omh,0
0:09,buruu bang main pakde,0
0:10,APEEEENICHHHHH,0
0:10,:hand-pink-waving::face-fuchsia-wide-eyes::cat-orange-whistling::face-blue-wide-eyes::face-orange-raised-eyebrow:,0
0:10,semenit,0
0:10,halo bangggg,0
0:11,SKEEMMMM,0
0:11,:elbowcough::elbowcough::elbowcough::elbowcough:,0
0:12,owiiiii,0
0:12,buka puasa gess WITA,0
0:12,1 menit,0
0:12,when gw yg tinggal di solo,0
0:12,halo bangggg,0
0:12,laparrrr,0
0:12,jokowi,0
0:13,HALOOO BANGGG,0
0:13,1menit lagi,0
0:13,INFO NGABUBURIT,0
0:13,udah buka di witaaaa,0
0:13,cepatkan wok,0
0:13,GAA SERU PASTI GAMENYAA,0
0:13,Ndak bahaya ta,0
0:14,semangat bang,0
0:14,ayo bang,0
0:14,hallo bang,0
0:14,:face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes:,0
0:14,HIDUP JOKOWI,0
0:15,1 m,0
0:15,YEYAYAYAYYA,0
0:15,LETSGOOOOO,0
0:16,jam berapa buka,0
0:16,halooo banggg,0
0:16,HIDUP SAWIT,0
0:16,BANG WINDAHHHHH,0
0:17,bang bing bung,0
0:17,AKU,0
0:17,pria solo lagi ngapainnn,0
0:17,pria solo itu lagi:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:,0
0:17,AYOOOOO BANGGGGGGGG,0
0:17,YAHOOO,0
0:17,LAPERRRRR,0
0:17,lu suka cari takjil gak,0
0:17,LET'S GOOO GABUBURITTT,0
0:17,halooooo,0
0:17,GELOOO 2.4K YG NUNGGUU,0
0:18,aku,0
0:18,YEEEEYYYYY,0
0:18,1 menit,0
0:18,kita disini udah bukaa,0
0:18,halo bang,0
0:18,pria solo itu lagi,0
0:18,yaaaaaaa,0
0:18,1 menit,0
0:18,YEYYYYYYYY,0
0:18,yeyyy,0
0:19,yeyyyy,0
0:19,Mana bang,0
0:19,YAYYYYY,0
0:20,AKUUU ABNG,0
0:20,haloooo,0
0:20,YEAAAAYYY,0
0:20,WAHH,0
0:21,1 menit lagi,0
0:21,YEESSSS,0
0:21,nahh akhirnya,0
0:21,lets goo,0
0:21,SOLOOOOOOOOOO9OOOOOOOOOOOOOOOOOOOOOOOO,0
0:22,let's gooooooo,0
0:22,yeyy,0
0:23,yeyyyy,0
0:23,LETSGOOO,0
0:23,:hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate::hydrate:,0
0:23,halo bangggg windahhhh,0
0:23,YEYYY,0
0:24,AKU BANG,0
0:24,akuuu,0
0:24,OWIIIiiiiiiii,0
0:24,AKUU,0
0:24,ngabuburit day 1 yey,0
0:24,Hallo bang,0
0:25,INFO NGABUBURIT,0
0:25,HALOOO,0
0:25,YEYYY,0
0:25,ah pria solo itu lagi,0
0:25,AKU,0
0:25,yeyyyy,0
0:25,Let's go:face-blue-smiling::face-blue-smiling::face-blue-smiling:17.30,0
0:25,YEAYYY,0
0:25,WIHHHH,0
0:26,aku bang,0
0:27,telat ga bg,0
0:27,SCAM,0
0:27,yeyyyy,0
0:28,laparrrr,0
0:28,GAA SERU PASTI GAMENYAA,0
0:28,ngaduburit,0
0:29,yooo,0
0:29,sore bang windah,0
0:29,YEAYYYYYY LET'S GOOOOOOOO,0
0:29,yeyy,0
0:29,yeyyyy,0
0:29,AKUUU,0
0:29,ABANGGGGGG,0
0:30,oi windah,0
0:30,hallo,0
0:30,aku,0
0:30,le,0
0:30,ehhh tapi boong,0
0:30,yeyyyyy,0
0:31,HIDUP Jokowi,0
0:31,LETSSGOOOOOO,0
0:31,halo bang,0
0:31,HOREEEE,0
0:31,HALO BANG WINDAAAHHH,0
0:31,halo bg,0
0:31,BANG WINDAHHHHHHHHHHHH,0
0:31,akuuu,0
0:31,YEAYYYYYYEAY,0
0:32,HALOWW BANGG,0
0:32,BANG WINDAHHJ,0
0:32,yeyyyyyyyy,0
0:32,ini saatnyah,0
0:32,yeayy,0
0:32,LETSGOOO,0
0:32,solooo,0
0:32,yooooo,0
0:33,eyoyyy,0
0:33,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:,0
0:33,:face-blue-smiling::face-blue-smiling::face-blue-smiling:,0
0:34,lets go:face-blue-smiling::face-blue-smiling:,0
0:34,LETSGOO,0
0:34,hai bang,0
0:34,lesgoooooooi,0
0:34,namanya kek ga aseeeng bg,0
0:34,telatt ga ni?,0
0:35,bangg KY,0
0:35,aku,0
0:35,HALOOO BANGGG,0
0:36,petualangan solo,0
0:36,ayyyoo,0
0:36,yayy,0
0:36,yeyy,0
0:36,banggg windahhhhh,0
0:36,HALOO BANGGG,0
0:37,wkwkwk,0
0:37,!sebutnamaku,0
0:37,halooo banggg,0
0:37,yeyyy,0
0:37,EYOOOO,0
0:38,yeyyy,0
0:38,HALO BANG WINDAH,0
0:38,BANGG WINDAAAHHHH,0
0:39,HALOOO BANG,0
0:39,akuuu:text-green-game-over::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-orange-raised-eyebrow::face-blue-smiling::face-orange-raised-eyebrow::face-blue-smiling::face-blue-smiling::face-green-smiling::face-blue-smiling::face-green-smiling::face-blue-smiling::face-fuchsia-tongue-out:,0
0:39,haloooo bangg,0
0:40,AKUUUU,0
0:40,YOOOOOOOOOO,0
0:40,halooo,0
0:40,bang akuh udah buka,0
0:40,hai bang,0
0:40,sapaaa bangggg,0
0:41,OMAGAT,0
0:41,akuuu,0
0:41,aku bang,0
0:41,AKU,0
0:41,letsgo,0
0:42,akuuu,0
0:42,omaaagaaa,0
0:42,halo bang,0
0:42,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:,0
0:42,akuuuu,0
0:43,AKUUUU BANG WINDAHHHH,0
0:44,telat ga bg windah,0
0:44,aku telat ga bang,0
0:44,hi bg,0
0:44,hallo bang winda,0
0:44,yey gk telat!,0
0:44,aaloooo,0
0:45,bang telat ga????,0
0:45,keburu buka:smiling_face_with_tear:,0
0:45,aku,0
0:45,yeayyyy,0
0:45,wkwwkkwkww,0
0:45,WOI MAIN POPY PLAYTIME CHAPTER 5,0
0:45,petualangan pria solo,0
0:46,haloooooo,0
0:47,apani:loudly_crying_face::loudly_crying_face:,0
0:47,banggggg windahhh,0
0:47,halooo banggg,0
0:47,game berbahaya,0
0:47,halo bang,0
0:48,BANGGGG WINDAHHHH,0
0:48,HIDUP JOKOWEEEE,0
0:48,haloo bang,0
0:48,AKU AKU AKUU,0
0:48,aku telah ya,0
0:48,:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,0
0:48,akuuuu,0
0:48,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:,0
0:48,AKU,0
0:48,SOLOOO,0
0:49,hidup jokowi,0
0:49,akhirnya,0
0:49,hai bang,0
0:49,GGG,0
0:50,aku,0
0:50,akuuuuu,0
0:50,telat ga bang,0
0:50,bang telat gak,0
0:51,HALOO BANGGGGG,0
0:51,akuuuuu,0
0:51,kamu ganteng bang,0
0:51,halo halo halooo,0
0:51,:face-blue-smiling::face-blue-smiling:,0
0:52,aku,0
0:52,HALOO BAANGG,0
0:52,HAII BANGG,0
0:52,aku bang,0
0:52,????,0
0:52,yooo,0
0:53,absolute game,0
0:53,aku aku aku,0
0:53,halooo bangg,0
0:53,im,0
0:54,akuuu,0
0:54,aku telat gak bang?,0
0:54,gasa,0
0:55,udah pernah main,0
0:55,hahhh,0
0:56,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:,0
0:56,AKUUUUUUUU,0
0:57,wib belom,0
0:57,HALOOOOO BANGGGG,0
0:57,aku aku bang,0
0:57,haloo bang,0
0:58,ga telatt akuu,0
0:58,halo bang,0
0:59,halo,0
0:59,akuu,0
0:59,akuu bang,0
0:59,HAI BANG,0
1:00,streamer ngawur wkwk,0
1:00,halo halo halo bg,0
1:00,BANGGG WINDAHH,0
1:00,HIDUP JOKOWI,0
1:00,hlo bg,0
1:00,TELAT GA BANGG,0
1:01,game opo iki cik,0
1:01,halo bangg,0
1:02,akuuuuuu,0
1:02,bismillah letsgoo bang,0
1:02,WOII BANGG,0
1:02,;BANG SAPA AKU,0
1:02,WKKWKWKWK,0
1:02,hadir bg,0
1:02,akuu bangg,0
1:02,hallol bangg,0
1:03,GAA SERU PASTI GAMENYAA,0
1:03,aku,0
1:03,ekeoe,0
1:03,aku,0
1:03,wkwkkw gg petualangan jokowi,0
1:03,g,0
1:03,AKUUU,0
1:04,aku,0
1:04,telat ga bang,0
1:04,aku laper bg,0
1:04,iklannya 3 sekarang sat,0
1:04,BANG WINDAHHHHHH,0
1:05,HALO BANG,0
1:05,YEAY IM EARLYYYY,0
1:05,game gajelass,0
1:05,AKU BANGGGG,0
1:05,halo bh,0
1:05,telat ga bangggg,0
1:05,ah pria solo itu lagi,0
1:05,apakah ini petualangan mencari ijazah yang hilang?,0
1:06,pria solo itu lgi?,0
1:06,notiffff,0
1:06,SALIM AYEB,0
1:07,telat ga banggg,0
1:07,hallo bang,0
1:07,halo bangg,0
1:07,aku banggg,0
1:07,udah pernah,0
1:07,HIDUPP JOKOWII,0
1:07,akuuuuuuu banggg,0
1:08,halo bg,0
1:08,alo bangg,0
1:08,ini buka puasa jam berapa bang,0
1:08,hai,0
1:08,ITUKAN PRIA SOLO!???,0
1:08,telat GK bg,0
1:08,haloo,0
1:09,Tukang kayu,0
1:10,telat ga bang,0
1:10,halo bg,0
1:10,aku,0
